fips,county_name,state,mfg_employment_2000,mfg_employment_2023,mfg_employment_change_pct,mfg_weekly_wage_2000,mfg_weekly_wage_2023,poverty_rate_2022,median_household_income,unemployment_rate_2023,unemployment_rate_2000,bachelors_degree_pct,internet_access_pct,home_value_2000,home_value_2023,home_value_change_pct,establishments_2000,establishments_2021,bank_branches_2000,bank_branches_2023,deindustrialization_quintile
1001,Autauga County,AL,2197,1520,-30.81474738279472,827,1410,11.7,70148.0,2.2,4.1,28.28267962,89.1,121658.5952529718,234433.5390373529,92.6978842307702,769.0,924.0,14.0,15.0,Slight Decline
1003,Baldwin County,AL,5878,4089,-30.43552228649201,541,1224,10.0,71704.0,2.3,3.7,32.79763704,89.1,137457.6546085967,366381.2768142977,166.5411961651382,3872.0,5992.0,62.0,83.0,Slight Decline
1005,Barbour County,AL,4996,2064,-58.68694955964772,487,948,25.5,41151.0,4.4,5.6,11.46471523,68.2,,144003.2798772275,,577.0,423.0,14.0,11.0,Severe Decline
1007,Bibb County,AL,766,592,-22.7154046997389,404,1039,19.4,54309.0,2.5,5.4,11.46820664,79.8,,207259.1608081056,,331.0,298.0,10.0,7.0,Slight Decline
1009,Blount County,AL,2544,1308,-48.58490566037736,406,982,12.8,60553.0,2.1,3.5,15.57902954,83.1,,218773.3758494686,,742.0,726.0,11.0,14.0,Moderate Decline
1013,Butler County,AL,1425,1343,-5.754385964912281,451,1109,23.6,41852.0,2.9,7.9,13.76481313,78.6,,120124.6613573737,,504.0,430.0,9.0,9.0,Stable
1015,Calhoun County,AL,10088,6827,-32.32553528945282,547,1299,20.1,52772.0,2.8,5.1,20.54510537,83.4,,154528.2360005572,,2566.0,2222.0,31.0,30.0,Slight Decline
1017,Chambers County,AL,5009,2518,-49.73048512677181,540,1287,17.1,45563.0,2.4,4.4,14.58503512,78.6,,131978.2018301799,,645.0,599.0,12.0,7.0,Moderate Decline
1019,Cherokee County,AL,1082,742,-31.42329020332717,424,1051,15.6,52613.0,2.4,4.5,15.94503914,78.2,,207026.9326005792,,356.0,369.0,8.0,8.0,Slight Decline
1021,Chilton County,AL,1453,1722,18.51342050929112,471,1161,15.3,61823.0,2.2,4.3,15.24701597,81.4,,203465.7711960146,,775.0,775.0,11.0,11.0,Growth
1023,Choctaw County,AL,1799,958,-46.74819344080044,1122,1854,24.8,44458.0,4.0,6.6,13.91420316,69.5,,137827.4829850403,,305.0,244.0,6.0,5.0,Moderate Decline
