state,mfg_employment_2000,mfg_employment_2023,county_count,mfg_change_pct
AK,6654,6637,8,-0.3
AL,345533,278060,65,-19.5
AR,238716,160353,71,-32.8
AZ,209254,193659,13,-7.5
CA,1847162,1308363,55,-29.2
CO,187578,145188,39,-22.6
CT,234659,156957,8,-33.1
DC,3710,1053,1,-71.6
DE,41643,15315,3,-63.2
FL,443192,409228,60,-7.7
GA,522505,411706,132,-21.2
HI,16358,12021,4,-26.5
IA,251208,226387,99,-9.9
ID,68667,71726,34,4.5
IL,861912,563238,91,-34.7
IN,659911,529105,90,-19.8
KS,195455,168123,71,-14.0
KY,306839,254001,100,-17.2
LA,175915,135800,61,-22.8
MA,408182,236766,12,-42.0
MD,171243,110914,22,-35.2
ME,71676,45737,14,-36.2
MI,880270,601879,80,-31.6
MN,395130,323576,80,-18.1
MO,359257,281176,101,-21.7
MS,216396,139094,73,-35.7
MT,21343,20856,30,-2.3
NC,753652,463178,96,-38.5
ND,20613,25157,21,22.0
NE,108865,97788,48,-10.2
NH,102044,70119,10,-31.3
NJ,409698,248032,21,-39.5
NM,41086,28060,23,-31.7
NV,42388,52239,9,23.2
NY,692859,399489,60,-42.3
OH,1019902,683344,86,-33.0
OK,168276,132257,59,-21.4
OR,225479,188600,33,-16.4
PA,860276,566120,67,-34.2
RI,70724,38589,5,-45.4
SC,333210,258492,46,-22.4
SD,39502,42112,30,6.6
TN,485701,359308,91,-26.0
TX,1052442,928475,178,-11.8
UT,124143,151356,22,21.9
VA,349184,224518,111,-35.7
VT,46125,28466,14,-38.3
WA,328331,269752,37,-17.8
WI,592621,474235,71,-20.0
WV,74806,45491,47,-39.2
WY,9949,9959,20,0.1
